,precision,recall,f1-score,support,model
blues,0.10101010101010101,1.0,0.1834862385321101,20.0,dummy_most_frequent_default
classical,0.0,0.0,0.0,20.0,dummy_most_frequent_default
country,0.0,0.0,0.0,20.0,dummy_most_frequent_default
disco,0.0,0.0,0.0,20.0,dummy_most_frequent_default
hiphop,0.0,0.0,0.0,20.0,dummy_most_frequent_default
jazz,0.0,0.0,0.0,20.0,dummy_most_frequent_default
metal,0.0,0.0,0.0,18.0,dummy_most_frequent_default
pop,0.0,0.0,0.0,20.0,dummy_most_frequent_default
reggae,0.0,0.0,0.0,20.0,dummy_most_frequent_default
rock,0.0,0.0,0.0,20.0,dummy_most_frequent_default
accuracy,0.10101010101010101,0.10101010101010101,0.10101010101010101,0.10101010101010101,dummy_most_frequent_default
macro avg,0.0101010101010101,0.1,0.01834862385321101,198.0,dummy_most_frequent_default
weighted avg,0.01020304050607081,0.10101010101010101,0.01853396348809193,198.0,dummy_most_frequent_default
blues,0.5882352941176471,0.5,0.5405405405405406,20.0,logistic_regression_default
classical,0.8636363636363636,0.95,0.9047619047619048,20.0,logistic_regression_default
country,0.4230769230769231,0.55,0.4782608695652174,20.0,logistic_regression_default
disco,0.3076923076923077,0.2,0.24242424242424243,20.0,logistic_regression_default
hiphop,0.7142857142857143,0.5,0.5882352941176471,20.0,logistic_regression_default
jazz,0.7619047619047619,0.8,0.7804878048780488,20.0,logistic_regression_default
metal,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0,logistic_regression_default
pop,0.7619047619047619,0.8,0.7804878048780488,20.0,logistic_regression_default
reggae,0.52,0.65,0.5777777777777777,20.0,logistic_regression_default
rock,0.38095238095238093,0.4,0.3902439024390244,20.0,logistic_regression_default
accuracy,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,logistic_regression_default
macro avg,0.6099466285348638,0.6127777777777779,0.606099791916023,198.0,logistic_regression_default
weighted avg,0.6082513644010971,0.6111111111111112,0.6043656708467123,198.0,logistic_regression_default
blues,0.29411764705882354,0.25,0.2702702702702703,20.0,decision_tree_default
classical,0.6956521739130435,0.8,0.7441860465116279,20.0,decision_tree_default
country,0.2916666666666667,0.35,0.3181818181818182,20.0,decision_tree_default
disco,0.3076923076923077,0.2,0.24242424242424243,20.0,decision_tree_default
hiphop,0.4,0.4,0.4,20.0,decision_tree_default
jazz,0.5416666666666666,0.65,0.5909090909090909,20.0,decision_tree_default
metal,0.7692307692307693,0.5555555555555556,0.6451612903225806,18.0,decision_tree_default
pop,0.5652173913043478,0.65,0.6046511627906976,20.0,decision_tree_default
reggae,0.42105263157894735,0.4,0.41025641025641024,20.0,decision_tree_default
rock,0.22727272727272727,0.25,0.23809523809523808,20.0,decision_tree_default
accuracy,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495,decision_tree_default
macro avg,0.45135689813843005,0.45055555555555554,0.4464135569761976,198.0,decision_tree_default
weighted avg,0.44814605095567905,0.4494949494949495,0.44440600411411296,198.0,decision_tree_default
blues,0.8571428571428571,0.9,0.8780487804878049,20.0,random_forest_default
classical,0.8695652173913043,1.0,0.9302325581395349,20.0,random_forest_default
country,0.5789473684210527,0.55,0.5641025641025641,20.0,random_forest_default
disco,0.625,0.5,0.5555555555555556,20.0,random_forest_default
hiphop,0.7333333333333333,0.55,0.6285714285714286,20.0,random_forest_default
jazz,0.8947368421052632,0.85,0.8717948717948718,20.0,random_forest_default
metal,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0,random_forest_default
pop,0.625,0.75,0.6818181818181818,20.0,random_forest_default
reggae,0.5454545454545454,0.6,0.5714285714285714,20.0,random_forest_default
rock,0.4,0.4,0.4,20.0,random_forest_default
accuracy,0.6919191919191919,0.6919191919191919,0.6919191919191919,0.6919191919191919,random_forest_default
macro avg,0.6918653848058882,0.6933333333333334,0.6892363322709324,198.0,random_forest_default
weighted avg,0.6908794423876596,0.6919191919191919,0.688008307235176,198.0,random_forest_default
blues,0.631578947368421,0.6,0.6153846153846154,20.0,gradient_boosting_default
classical,0.9047619047619048,0.95,0.926829268292683,20.0,gradient_boosting_default
country,0.3888888888888889,0.35,0.3684210526315789,20.0,gradient_boosting_default
disco,0.5625,0.45,0.5,20.0,gradient_boosting_default
hiphop,0.8333333333333334,0.5,0.625,20.0,gradient_boosting_default
jazz,0.8333333333333334,0.75,0.7894736842105263,20.0,gradient_boosting_default
metal,0.65,0.7222222222222222,0.6842105263157895,18.0,gradient_boosting_default
pop,0.7272727272727273,0.8,0.7619047619047619,20.0,gradient_boosting_default
reggae,0.5652173913043478,0.65,0.6046511627906976,20.0,gradient_boosting_default
rock,0.3793103448275862,0.55,0.4489795918367347,20.0,gradient_boosting_default
accuracy,0.6313131313131313,0.6313131313131313,0.6313131313131313,0.6313131313131313,gradient_boosting_default
macro avg,0.6476196871090543,0.6322222222222222,0.6324854663367387,198.0,gradient_boosting_default
weighted avg,0.6475956435444993,0.6313131313131313,0.631962990983415,198.0,gradient_boosting_default
blues,0.5882352941176471,0.5,0.5405405405405406,20.0,logistic_regression_tuned
classical,0.8636363636363636,0.95,0.9047619047619048,20.0,logistic_regression_tuned
country,0.4230769230769231,0.55,0.4782608695652174,20.0,logistic_regression_tuned
disco,0.3076923076923077,0.2,0.24242424242424243,20.0,logistic_regression_tuned
hiphop,0.7142857142857143,0.5,0.5882352941176471,20.0,logistic_regression_tuned
jazz,0.7619047619047619,0.8,0.7804878048780488,20.0,logistic_regression_tuned
metal,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0,logistic_regression_tuned
pop,0.7619047619047619,0.8,0.7804878048780488,20.0,logistic_regression_tuned
reggae,0.52,0.65,0.5777777777777777,20.0,logistic_regression_tuned
rock,0.38095238095238093,0.4,0.3902439024390244,20.0,logistic_regression_tuned
accuracy,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,logistic_regression_tuned
macro avg,0.6099466285348638,0.6127777777777779,0.606099791916023,198.0,logistic_regression_tuned
weighted avg,0.6082513644010971,0.6111111111111112,0.6043656708467123,198.0,logistic_regression_tuned
blues,0.21052631578947367,0.2,0.20512820512820512,20.0,decision_tree_tuned
classical,0.6956521739130435,0.8,0.7441860465116279,20.0,decision_tree_tuned
country,0.3,0.3,0.3,20.0,decision_tree_tuned
disco,0.25,0.15,0.1875,20.0,decision_tree_tuned
hiphop,0.4,0.4,0.4,20.0,decision_tree_tuned
jazz,0.5909090909090909,0.65,0.6190476190476191,20.0,decision_tree_tuned
metal,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0,decision_tree_tuned
pop,0.5238095238095238,0.55,0.5365853658536586,20.0,decision_tree_tuned
reggae,0.4,0.4,0.4,20.0,decision_tree_tuned
rock,0.2608695652173913,0.3,0.27906976744186046,20.0,decision_tree_tuned
accuracy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,decision_tree_tuned
macro avg,0.4353988891860746,0.44722222222222224,0.43937392262051933,198.0,decision_tree_tuned
weighted avg,0.43250168380187104,0.4444444444444444,0.43651686908918896,198.0,decision_tree_tuned
blues,0.85,0.85,0.85,20.0,random_forest_tuned
classical,0.8333333333333334,1.0,0.9090909090909091,20.0,random_forest_tuned
country,0.6111111111111112,0.55,0.5789473684210527,20.0,random_forest_tuned
disco,0.5882352941176471,0.5,0.5405405405405406,20.0,random_forest_tuned
hiphop,0.7142857142857143,0.5,0.5882352941176471,20.0,random_forest_tuned
