,precision,recall,f1-score,support
blues,0.7619047619047619,0.8,0.7804878048780488,20.0
classical,0.9047619047619048,0.95,0.926829268292683,20.0
country,0.5909090909090909,0.65,0.6190476190476191,20.0
disco,0.45,0.45,0.45,20.0
hiphop,0.8666666666666667,0.65,0.7428571428571429,20.0
jazz,0.85,0.85,0.85,20.0
metal,0.7647058823529411,0.7222222222222222,0.7428571428571429,18.0
pop,0.8095238095238095,0.85,0.8292682926829268,20.0
reggae,0.6363636363636364,0.7,0.6666666666666666,20.0
rock,0.5263157894736842,0.5,0.5128205128205128,20.0
accuracy,0.7121212121212122,0.7121212121212122,0.7121212121212122,0.7121212121212122
macro avg,0.7161151541956495,0.7122222222222223,0.7120834450102744,198.0
weighted avg,0.7156243387597173,0.7121212121212122,0.7117725995774777,198.0
