experiment,params,mean_train_accuracy,std_train_accuracy,mean_validation_accuracy,std_validation_accuracy,generalization_gap,rank_validation_accuracy,mean_fit_time_seconds
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 'scale'}",0.986056891813276,0.0033881255655908,0.7275175360799806,0.012973903035177,0.2585393557332953,1,0.0384378433227539
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.01}",0.9540552468454732,0.0034786092044723,0.7262597758606788,0.0153005869872038,0.2277954709847944,2,0.0294801235198974
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807,0.7198984116745949,0.0046944214108725,0.2791512182076495,3,0.0421328544616699
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.01}",0.9955636020782764,0.0011870187830544,0.7186164637587681,0.0174954513354797,0.2769471383195083,4,0.0439119815826416
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807,0.7173667661049746,0.0084566665760435,0.2816828637772698,5,0.0430253505706787
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807,0.7173667661049746,0.0084566665760435,0.2816828637772698,5,0.043955373764038
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.003}",0.9185675740737028,0.0045530418712849,0.7135692977505442,0.0120719358584959,0.2049982763231584,7,0.0307147026062011
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.01}",0.9990496298822444,0.0007759744919807,0.7110215270499073,0.0163832561142323,0.2880281028323371,8,0.0344123363494873
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.01}",0.9990496298822444,0.0007759744919807,0.7110215270499073,0.0163832561142323,0.2880281028323371,8,0.0317850589752197
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.001}",0.8909993179401793,0.0043453265980645,0.7097234540030638,0.0143089210130343,0.1812758639371154,10,0.0249789714813232
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.03}",0.9984157154606914,0.0010023072087438,0.7084737563492702,0.0181895051665377,0.2899419591114212,11,0.0473617076873779
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807,0.7059259856486334,0.0186841044873443,0.293123644233611,12,0.0532710075378417
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807,0.7059259856486334,0.0186841044873443,0.293123644233611,12,0.064287519454956
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807,0.7059259856486334,0.0186841044873443,0.293123644233611,12,0.0493564128875732
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.003}",0.975601817488816,0.0012716736453294,0.7059179230831251,0.029452210801824,0.269683894405691,15,0.0296316146850585
