true_class,predicted_class,count
disco,country,4
hiphop,reggae,3
metal,disco,3
country,rock,2
hiphop,pop,2
disco,rock,2
rock,blues,2
rock,metal,2
rock,disco,2
rock,country,2
rock,reggae,2
reggae,country,2
hiphop,disco,2
country,disco,2
metal,rock,2
classical,jazz,1
country,blues,1
blues,metal,1
blues,jazz,1
blues,disco,1
blues,reggae,1
country,classical,1
jazz,country,1
jazz,classical,1
disco,reggae,1
disco,pop,1
country,jazz,1
disco,blues,1
disco,hiphop,1
disco,metal,1
reggae,blues,1
pop,rock,1
pop,reggae,1
pop,disco,1
jazz,rock,1
reggae,rock,1
reggae,hiphop,1
reggae,pop,1
