feature,importance_mean,importance_std
mfcc_9_mean,0.044781144781144824,0.013022949229504175
mfcc_5_std,0.029124579124579164,0.012070836208918086
rms_std,0.028956228956229,0.014575663853140321
mfcc_3_mean,0.028787878787878828,0.008262889691453222
mfcc_11_mean,0.02794612794612799,0.010572605029028686
mfcc_3_std,0.026262626262626303,0.008390529154462714
mfcc_4_mean,0.024747474747474782,0.01577558756467021
rms_mean,0.022727272727272763,0.015957784494221538
mfcc_6_mean,0.022222222222222254,0.01241232901762071
chroma_4_std,0.02053872053872057,0.01165878093816888
mfcc_6_std,0.01818181818181823,0.009723588604844213
mfcc_8_mean,0.01750841750841754,0.011348349862863791
mfcc_8_std,0.017340067340067378,0.011640534621590927
mfcc_13_mean,0.01700336700336703,0.008794584435426921
tempo,0.016161616161616193,0.01169276454827296
chroma_4_mean,0.013468013468013495,0.008073790443287406
spectral_rolloff_mean,0.01313131313131317,0.009276078999296902
mfcc_10_std,0.012289562289562324,0.016581423336355195
chroma_1_mean,0.011616161616161639,0.008466189199111223
mfcc_10_mean,0.011616161616161639,0.008054460413404501
mfcc_1_std,0.011447811447811485,0.0099255238875311
chroma_5_std,0.011111111111111143,0.008288574831711236
mfcc_12_std,0.010606060606060638,0.007753251811225221
chroma_12_mean,0.010437710437710478,0.009306582465377274
chroma_6_std,0.010437710437710468,0.0099255238875311
mfcc_5_mean,0.01026936026936031,0.011914863487690585
chroma_9_mean,0.007912457912457952,0.012486317603224698
mfcc_7_std,0.00707070707070712,0.01333690391941977
chroma_1_std,0.007070707070707094,0.009457624178577873
chroma_8_mean,0.006734006734006751,0.011013755712994025
chroma_2_std,0.0065656565656566,0.009684159608262395
spectral_bandwidth_mean,0.006397306397306431,0.010508071740287695
mfcc_7_mean,0.0063973063973064275,0.008136731295349874
mfcc_13_std,0.006397306397306424,0.010588676897990833
chroma_8_std,0.005892255892255934,0.008358378173270304
chroma_11_std,0.005892255892255923,0.011523074046227343
mfcc_2_std,0.005723905723905757,0.006079282856992524
chroma_12_std,0.00572390572390575,0.00852457165062098
mfcc_9_std,0.005387205387205418,0.00781696078534943
spectral_centroid_mean,0.00420875420875424,0.009500977144459567
chroma_3_mean,0.0038720538720538934,0.007340144564508971
mfcc_11_std,0.0037037037037037424,0.008741249148651287
mfcc_12_mean,0.003703703703703735,0.01215856571398505
chroma_5_mean,0.0035353535353535768,0.011379524994021001
mfcc_1_mean,0.003535353535353558,0.013686154267139844
chroma_2_mean,0.002861952861952895,0.008519583117090904
chroma_11_mean,0.0026936026936027293,0.0076853280878877534
mfcc_4_std,0.002693602693602722,0.013845713935994666
mfcc_2_mean,0.00252525252525256,0.007905290829544696
chroma_9_std,0.002020202020202052,0.013144256764944871
chroma_3_std,0.00101010101010105,0.00934912011913455
chroma_10_mean,0.0005050505050505305,0.010780984947195536
chroma_6_mean,-0.0005050505050504787,0.007969562544474491
spectral_bandwidth_std,-0.0006734006734006296,0.00757388678734141
chroma_7_std,-0.0008417508417508028,0.008256026825076914
zcr_std,-0.0011784511784511417,0.009191672521696094
spectral_rolloff_std,-0.00252525252525249,0.009995237447001613
chroma_10_std,-0.003030303030302998,0.006597952169112929
chroma_7_mean,-0.005050505050505009,0.008844394300716301
spectral_centroid_std,-0.00656565656565653,0.007278103138457006
zcr_mean,-0.008585858585858553,0.013623887546252664
